,0,0,0,0,0,0,0,1,2
test.regressor.sMAPE,0.017707099349720888,0.014810852334446343,0.013354379662998562,0.014256739354774452,0.012999030953925496,0.013433442117174415,0.01317190436373203,0.009860930241200773,0.01249358703148412
test.regressor.R2,0.9926553262705818,0.9939519720443389,0.9948302752106786,0.9949482006872222,0.9953986272550464,0.9960491133654359,0.9956479293022025,0.9930643775760207,0.9946881076101397
test.regressor.MAE,0.038487915834020114,0.029495765123353834,0.02319159139653415,0.021686112209780894,0.021065085570040054,0.027268589231642437,0.02163375853147187,0.020774705741025024,0.01895336895246036
test.regressor.RMSE,0.28510010788763257,0.25909715812987044,0.23901785332365588,0.23654053461893165,0.22780711591353522,0.20838829138371343,0.21864444102202293,0.2088740944675751,0.27090462229374235
test.regressor.MAPE,0.05267429825402396,0.08267544162884832,0.028354973353125576,0.023241652874316076,0.016265705708585203,0.026576745913877934,0.03613653551486793,0.010515290761562244,0.02352125662208762
test.regressor.offset_percentile.50%,1.0035768099675089,1.0027115517857998,1.002162137559057,1.0019998611211691,1.001980906784368,1.0025457374249607,1.002014318762284,1.001870221243332,1.0015809678764391
test.regressor.offset_percentile.75%,1.0126835259155311,1.0103512867155569,1.0094513853669658,1.0087888253877488,1.0083485281136266,1.0089132874833113,1.0087778298134815,1.0070533032974138,1.0075999591355826
test.regressor.offset_percentile.90%,1.032187177017092,1.0299718668969593,1.0262843112196345,1.0253688098585112,1.024521004937009,1.025068201703323,1.0251372977683286,1.0190043546452197,1.0249915452520857
test.regressor.offset_percentile.95%,1.0628215529523228,1.0539022516410932,1.0459764019719902,1.0483381599122403,1.0473624160542985,1.0461114497867692,1.0481309580484983,1.0353795730843398,1.0454293521899296
test.regressor.confidence_rating.<10.0%,7942,7983,8008,7989,8008,8010,10004,9855,6321
test.regressor.confidence_rating.10-20%,115,101,89,86,97,88,123,84,74
test.regressor.confidence_rating.20-50%,91,75,68,75,54,62,73,61,48
test.regressor.confidence_rating.50-100%,23,16,9,19,13,13,19,16,13
test.regressor.confidence_rating.100-200%,6,7,3,9,9,7,7,3,4
test.regressor.confidence_rating.>200.0%,10,5,10,9,6,7,7,1,4
test.regressor.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test.regressor.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
test.regressor.confidence_rating_detailed.0.cnt,7942,7983,8008,7989,8008,8010,10004,9855,6321
test.regressor.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
test.regressor.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
test.regressor.confidence_rating_detailed.1.cnt,115,101,89,86,97,88,123,84,74
test.regressor.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
test.regressor.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
test.regressor.confidence_rating_detailed.2.cnt,91,75,68,75,54,62,73,61,48
test.regressor.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
test.regressor.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
test.regressor.confidence_rating_detailed.3.cnt,23,16,9,19,13,13,19,16,13
test.regressor.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
test.regressor.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
test.regressor.confidence_rating_detailed.4.cnt,6,7,3,9,9,7,7,3,4
test.regressor.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
test.regressor.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf,inf,inf,inf
test.regressor.confidence_rating_detailed.5.cnt,10,5,10,9,6,7,7,1,4
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.03827220059891384,0.032618677845096575,0.029480275146464393,0.031418314539301946,0.028700213131714402,0.02460772463942833,0.029906629379429447,0.021219895724763915,0.030542884832888778
test.R2,0.8962719289496585,0.9057395943622635,0.9191681880455589,0.9089966244705914,0.9185221299593047,0.9397671590923541,0.9113496576153693,0.9156909664310208,0.9033299910608763
test.MAE,0.04107730425660616,0.030313112470379266,0.02361780100619537,0.02199901086769973,0.021366868397707073,0.027617472752064387,0.02193044195555416,0.021142422134826422,0.019101462157708582
test.RMSE,1.0714188392982087,1.022869918656392,0.9451218131433637,1.0039481415437752,0.9586132148888252,0.8136595071705031,0.9868034922786346,0.7282473527259338,1.1556801673761392
test.MAPE,0.07504212158738122,0.11397572505570218,0.045028900390537786,0.04044622782053688,0.032746092347694426,0.03764339102302351,0.05282131605440192,0.02190368742497679,0.04108896301494543
test.offset_percentile.50%,1.003767639921149,1.0027755231330053,1.0022147866880935,1.002040918976606,1.002019662869835,1.0025840036051485,1.00203473604372,1.0019043164332895,1.0015912025336622
test.offset_percentile.75%,1.0150760298273438,1.0117040317400656,1.0103296438182756,1.0096413956826642,1.0090344098373845,1.009362425078883,1.0095535773423867,1.0077793402889776,1.00814766352166
test.offset_percentile.90%,1.0750067459443193,1.0548421663355798,1.0463814154493685,1.0438410902653628,1.039256699030324,1.0347793347007317,1.0463286376905838,1.0332958454777614,1.0404673797409758
test.offset_percentile.95%,1.2416265719635085,1.1935837194881096,1.171231061440207,1.1768808796239707,1.141215209601066,1.1069826686417443,1.1740308016270045,1.112300908178534,1.1837041288882661
test.confidence_rating.<10.0%,7474,7593,7621,7638,7689,7757,9536,9480,6027
test.confidence_rating.10-20%,244,194,203,174,179,167,240,210,134
test.confidence_rating.20-50%,260,216,215,189,143,148,255,222,164
test.confidence_rating.50-100%,135,115,93,107,98,65,118,75,88
test.confidence_rating.100-200%,48,57,36,52,64,33,62,31,32
test.confidence_rating.>200.0%,26,12,19,27,14,17,22,2,19
test.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.0.cnt,7474,7593,7621,7638,7689,7757,9536,9480,6027
test.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.1.cnt,244,194,203,174,179,167,240,210,134
test.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.2.cnt,260,216,215,189,143,148,255,222,164
test.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.3.cnt,135,115,93,107,98,65,118,75,88
test.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.4.cnt,48,57,36,52,64,33,62,31,32
test.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf,inf,inf,inf
test.confidence_rating_detailed.5.cnt,26,12,19,27,14,17,22,2,19
train.n_buckets,10,10,10,10,10,10,10,10,10
train.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
train.classifier.balanced_accuracy,0.9801162952743651,0.9856591218809196,0.9861394619985218,0.9873558056919014,0.9881929693468724,0.9903347763407917,0.9881000156245694,0.9856334344842802,0.9879843211254465
train.classifier.balanced_precision,0.9801308658342589,0.9856830430179365,0.9861604248707818,0.9873634387714613,0.9882216570762787,0.9903316750814213,0.9881122945786706,0.9856523758796085,0.988014806172634
train.classifier.balanced_recall,0.9801133587413271,0.9856591419915958,0.9861477572559367,0.9873448646535717,0.9881999413661683,0.990325417766051,0.9881022183133001,0.9856276667415226,0.9880100560819958
train.classifier.balanced_f1,0.9801167905488101,0.985663653277681,0.9861502836595539,0.9873484511781725,0.988202677072109,0.9903260829579937,0.988103520603175,0.9856306235543983,0.988009898590179
train.classifier.adj_lenient_acc,0.9883465259454706,0.9917668327958565,0.9924997556923678,0.9929395094302746,0.9935014169842666,0.9952604319358936,0.9937701553796541,0.9916660428674801,0.9921871978340746
train.classifier.adj_strict_acc,0.9862943418352389,0.9898612332649271,0.9904720023453533,0.991400371347601,0.9922065865337634,0.9941121860646926,0.9920600019544611,0.9906430122015121,0.9910655579191646
train.regressor.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
train.regressor.sMAPE,0.010011238019062512,0.008479970186101228,0.007450398595126073,0.007446813501373472,0.0070229112510481854,0.0069039423630519224,0.007653658301503186,0.0052618395228910516,0.006738713380409807
train.regressor.R2,0.9973505597388257,0.9979850289548817,0.9982397302859035,0.9983569455321899,0.9984697894309417,0.9987627988264971,0.9982834090434412,0.9974218297796934,0.9984356139416485
train.regressor.MAE,0.01672145723563112,0.012050006387849699,0.009288736093838956,0.00861651520564699,0.008083014449721482,0.010088514986588137,0.008895513854307868,0.008540192157834525,0.008283646633813646
train.regressor.RMSE,0.1709944597295922,0.1493256191287986,0.13950965010255362,0.1350741499877545,0.1306872413080487,0.11712502558282498,0.1381932527771927,0.1280934111099241,0.14684070438765176
train.regressor.MAPE,0.03188186434168575,0.030357258932087808,0.01853042720008098,0.01543093545070477,0.014231335778680508,0.013733017600479734,0.021369321308373882,0.006006340212938156,0.009518874546287772
train.regressor.offset_percentile.50%,1.0015619236199809,1.0011373517525526,1.000853734578691,1.0007924017094942,1.0007465126788508,1.0009415377218678,1.0008184237641642,1.000775443695853,1.0006959316808783
train.regressor.offset_percentile.75%,1.0064041611661532,1.0050536559311956,1.0040241877622516,1.0037273202134984,1.003655767695014,1.0035873230532175,1.0039095407088612,1.0033053995513554,1.0034663775196622
train.regressor.offset_percentile.90%,1.017318259070391,1.014336876704128,1.0125329311721796,1.0118585246882124,1.011474107441406,1.010911907749383,1.0121091556447392,1.0093093919988858,1.011929894944552
train.regressor.offset_percentile.95%,1.0322551876031147,1.027903398817103,1.0241337185361217,1.022408991555038,1.0224313449836244,1.02180511340875,1.0238457523102522,1.017815484205402,1.024022369223726
train.regressor.confidence_rating.<10.0%,40294,40416,40471,40483,40509,40558,40470,39784,25555
train.regressor.confidence_rating.10-20%,347,276,253,229,248,190,247,162,167
train.regressor.confidence_rating.20-50%,192,164,141,133,102,120,140,97,84
train.regressor.confidence_rating.50-100%,56,40,30,39,30,25,23,26,40
train.regressor.confidence_rating.100-200%,17,11,10,20,20,14,25,3,7
train.regressor.confidence_rating.>200.0%,26,25,27,28,23,24,27,5,2
train.regressor.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train.regressor.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
train.regressor.confidence_rating_detailed.0.cnt,40294,40416,40471,40483,40509,40558,40470,39784,25555
train.regressor.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
train.regressor.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
train.regressor.confidence_rating_detailed.1.cnt,347,276,253,229,248,190,247,162,167
train.regressor.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
train.regressor.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
train.regressor.confidence_rating_detailed.2.cnt,192,164,141,133,102,120,140,97,84
train.regressor.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
train.regressor.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
train.regressor.confidence_rating_detailed.3.cnt,56,40,30,39,30,25,23,26,40
train.regressor.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
train.regressor.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
train.regressor.confidence_rating_detailed.4.cnt,17,11,10,20,20,14,25,3,7
train.regressor.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
train.regressor.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf,inf,inf,inf
train.regressor.confidence_rating_detailed.5.cnt,26,25,27,28,23,24,27,5,2
train.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
train.sMAPE,0.014990098422929839,0.012351415261396027,0.010782375244081465,0.010944968946630294,0.010239768373733305,0.009138962665252957,0.010503176727064452,0.007856683366646643,0.010152436159619645
train.R2,0.9736412646225702,0.9785461082046601,0.9825907109942172,0.9809338267830375,0.9824616730324424,0.9876038321943809,0.9852009948627002,0.9797295968918418,0.9819667522088655
train.MAE,0.0167819584708635,0.012098065707766281,0.009302642184539245,0.008628524976087348,0.008095277823098712,0.010105138798061297,0.008907287858139767,0.008561389280394849,0.008309037143858333
train.RMSE,0.5393457471781279,0.487251250231555,0.43873790637995047,0.46012733041289966,0.44243723855410677,0.3707432565815303,0.40576042774023785,0.35917176584883925,0.4985531513954487
train.MAPE,0.0432556538358599,0.03708814473125632,0.021974463278338307,0.018944681392805158,0.01760837847936694,0.01594650884226061,0.03154744164457802,0.008617848959392998,0.013038998513419511
train.offset_percentile.50%,1.00157199615177,1.0011402074944353,1.0008549675447962,1.0007938410309798,1.0007477569462115,1.0009426887989756,1.000819747314105,1.0007776244925337,1.000696833903948
train.offset_percentile.75%,1.006526669923684,1.0051086893657781,1.0040552848948499,1.0037672090972,1.0036765326967285,1.0036064035557497,1.003944869956641,1.0033357128567615,1.0035137249875588
train.offset_percentile.90%,1.0189455692678329,1.015080113477591,1.0131106672028218,1.0123467645611974,1.011859535541242,1.0112564873993424,1.012561950967426,1.0097850880599915,1.012246885769403
train.offset_percentile.95%,1.0451936767124488,1.0345467273398967,1.0285891450987563,1.0262110917517233,1.0254631464381636,1.023754696295185,1.0276091464476198,1.0215622901674166,1.0273442363479617
train.confidence_rating.<10.0%,39738,40003,40073,40124,40183,40305,40142,39433,25320
train.confidence_rating.10-20%,497,374,368,319,332,269,336,281,218
train.confidence_rating.20-50%,395,311,294,250,192,206,263,247,170
train.confidence_rating.50-100%,183,145,117,130,118,77,102,85,106
train.confidence_rating.100-200%,75,64,44,63,76,40,58,24,32
train.confidence_rating.>200.0%,44,35,36,46,31,34,31,7,9
train.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.0.cnt,39738,40003,40073,40124,40183,40305,40142,39433,25320
train.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.1.cnt,497,374,368,319,332,269,336,281,218
train.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.2.cnt,395,311,294,250,192,206,263,247,170
train.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.3.cnt,183,145,117,130,118,77,102,85,106
train.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.4.cnt,75,64,44,63,76,40,58,24,32
train.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf,inf,inf,inf
train.confidence_rating_detailed.5.cnt,44,35,36,46,31,34,31,7,9
optimal_params.cls.max_depth,18,21,18,12,9,15,21,15,15
optimal_params.cls.colsample_bytree,0.9,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7
optimal_params.cls.min_child_weight,0.0016932298596912497,0.0028352144168847632,0.003627951170219976,0.004095964729226007,0.004516972772761942,0.04792731659161737,0.005039828856944656,0.021255030578320174,0.0037326016853652666
optimal_params.cls.subsample,0.5,0.7,0.7,0.5,0.8,0.5,0.8,0.7,0.8
optimal_params.cls.learning_rate,0.12035382753700162,0.1627870168243026,0.15487063263135176,0.15311769687597215,0.10887590776384083,0.13525903973061834,0.17686720241424958,0.1795974811549331,0.12651057039347297
optimal_params.cls.n_estimators,500,500,400,500,500,400,500,400,500
optimal_params.rgs.candidates.0.RFR.best_params.n_estimators,200,200,400,300,100,200,200,200,100
optimal_params.rgs.candidates.0.RFR.best_params.max_features,0.6000000000000001,0.8,0.4,0.8,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
optimal_params.rgs.candidates.0.RFR.best_params.min_samples_leaf,2,2,2,2,2,2,2,2,2
optimal_params.rgs.candidates.0.RFR.best_params.criterion,poisson,squared_error,friedman_mse,friedman_mse,squared_error,friedman_mse,poisson,squared_error,squared_error
optimal_params.rgs.candidates.0.RFR.Model,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,<class 'sklearn.ensemble._forest.RandomForestRegressor'>
